itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
751,3,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
752,1,68069,489647,UA,1815, ,5, ,1,J,UA,1815,ORD,DCA
752,2,131288,952456,UA,4560, ,10, ,1,J,UA,4560,DCA,EWR
752,3,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
753,1,48791,350490,UA,1421, ,7, ,1,J,UA,1421,ORD,FLL
753,2,29245,211432,UA,793, ,12, ,1,J,UA,793,FLL,EWR
753,3,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
754,1,48791,350490,UA,1421, ,7, ,1,J,UA,1421,ORD,FLL
754,2,50455,361943,UA,1469, ,14, ,2,J,UA,1469,FLL,EWR
754,3,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
755,1,132459,960636,UA,4613, ,4, ,1,J,UA,4613,ORD,STL
755,2,158382,156002,UA,6606, ,7, ,1,J,AC,8970,STL,YYZ
755,3,188087,281357,UA,8412, ,5, ,1,J,AC,858,YYZ,LHR
756,1,45195,324024,UA,1357, ,14, ,1,J,UA,1357,ORD,IAD
756,2,68732,494463,UA,1831, ,13, ,3,J,UA,1831,IAD,EWR
756,3,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
757,1,95087,687158,UA,2326, ,7, ,1,J,UA,2326,ORD,TPA
757,2,21787,157267,UA,645, ,5, ,1,J,UA,645,TPA,DEN
757,3,299,2064,UA,27, ,2, ,1,J,UA,27,DEN,LHR
758,1,95016,686673,UA,2323, ,2, ,1,J,UA,2323,ORD,MCO
758,2,7143,49785,UA,353, ,18, ,1,J,UA,353,MCO,EWR
758,3,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
759,1,95016,686673,UA,2323, ,2, ,1,J,UA,2323,ORD,MCO
759,2,59238,425222,UA,1643, ,16, ,1,J,UA,1643,MCO,EWR
759,3,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
760,1,95016,686673,UA,2323, ,2, ,1,J,UA,2323,ORD,MCO
760,2,94442,682555,UA,2310, ,12, ,1,J,UA,2310,MCO,EWR
760,3,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
761,1,95016,686673,UA,2323, ,2, ,1,J,UA,2323,ORD,MCO
