itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
648,2,150362,99571,UA,5756, ,3, ,1,J,UA,5756,ORD,DTW
648,3,115133,835546,UA,3425, ,5, ,1,J,UA,3425,DTW,EWR
649,1,32507,233442,UA,1044, ,12, ,1,J,UA,1044,IAH,ORD
649,2,121788,887553,UA,3696, ,8, ,1,J,UA,3696,ORD,CVG
649,3,127702,927857,UA,4390, ,16, ,1,J,UA,4390,CVG,EWR
650,1,32507,233442,UA,1044, ,12, ,1,J,UA,1044,IAH,ORD
650,2,121974,889025,UA,3704, ,2, ,1,J,UA,3704,ORD,CVG
650,3,127702,927857,UA,4390, ,16, ,1,J,UA,4390,CVG,EWR
651,1,32507,233442,UA,1044, ,12, ,1,J,UA,1044,IAH,ORD
651,2,77662,559004,UA,2008, ,6, ,2,J,UA,2008,ORD,MCO
651,3,7143,49785,UA,353, ,18, ,1,J,UA,353,MCO,EWR
652,1,32507,233442,UA,1044, ,12, ,1,J,UA,1044,IAH,ORD
652,2,95016,686673,UA,2323, ,2, ,1,J,UA,2323,ORD,MCO
652,3,7143,49785,UA,353, ,18, ,1,J,UA,353,MCO,EWR
653,1,32507,233442,UA,1044, ,12, ,1,J,UA,1044,IAH,ORD
653,2,4196,28613,UA,279, ,9, ,1,J,UA,279,ORD,FLL
653,3,50455,361943,UA,1469, ,14, ,2,J,UA,1469,FLL,EWR
654,1,32507,233442,UA,1044, ,12, ,1,J,UA,1044,IAH,ORD
654,2,51466,369154,UA,1486, ,8, ,2,J,UA,1486,ORD,FLL
654,3,50455,361943,UA,1469, ,14, ,2,J,UA,1469,FLL,EWR
655,1,58060,416956,UA,1617, ,8, ,1,J,UA,1617,IAH,ORD
655,2,97393,704222,UA,2370, ,4, ,1,J,UA,2370,ORD,MIA
655,3,29314,211924,UA,794, ,8, ,1,J,UA,794,MIA,EWR
656,1,86830,626446,UA,2182, ,6, ,1,J,UA,2182,IAH,ORD
656,2,60786,436105,UA,1681, ,11, ,1,J,UA,1681,ORD,SAV
656,3,116621,847367,UA,3478, ,4, ,1,J,UA,3478,SAV,EWR
