itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
1200,1,150996,104530,UA,5795, ,2, ,1,J,UA,5795,ORD,TUL
1200,2,150384,99758,UA,5758, ,2, ,1,J,UA,5758,TUL,IAH
1200,3,85807,618815,UA,2166, ,13, ,3,J,UA,2166,IAH,SFO
1201,1,150996,104530,UA,5795, ,2, ,1,J,UA,5795,ORD,TUL
1201,2,152796,118843,UA,5919, ,7, ,1,J,UA,5919,TUL,IAH
1201,3,85807,618815,UA,2166, ,13, ,3,J,UA,2166,IAH,SFO
1202,1,150996,104530,UA,5795, ,2, ,1,J,UA,5795,ORD,TUL
1202,2,155188,137277,UA,6136, ,5, ,1,J,UA,6136,TUL,IAH
1202,3,85807,618815,UA,2166, ,13, ,3,J,UA,2166,IAH,SFO
1203,1,95016,686673,UA,2323, ,2, ,1,J,UA,2323,ORD,MCO
1203,2,70803,509238,UA,1872, ,4, ,1,J,UA,1872,MCO,IAH
1203,3,85807,618815,UA,2166, ,13, ,3,J,UA,2166,IAH,SFO
1204,1,95016,686673,UA,2323, ,2, ,1,J,UA,2323,ORD,MCO
1204,2,99537,720079,UA,2406, ,9, ,1,J,UA,2406,MCO,IAH
1204,3,85807,618815,UA,2166, ,13, ,3,J,UA,2166,IAH,SFO
1205,1,95016,686673,UA,2323, ,2, ,1,J,UA,2323,ORD,MCO
1205,2,102315,740412,UA,2456, ,6, ,1,J,UA,2456,MCO,IAH
1205,3,85807,618815,UA,2166, ,13, ,3,J,UA,2166,IAH,SFO
1206,1,104210,754118,UA,2494, ,7, ,2,J,UA,2494,ORD,DEN
1206,2,69131,497378,UA,1835, ,3, ,1,J,UA,1835,DEN,SAN
1206,3,62746,450339,UA,1721, ,11, ,1,J,UA,1721,SAN,SFO
1207,1,86831,626454,UA,2182, ,6, ,2,J,UA,2182,ORD,PHL
1207,2,129702,941569,UA,4475, ,10, ,1,J,UA,4475,PHL,IAD
1207,3,8305,59184,UA,367, ,12, ,1,J,UA,367,IAD,SFO
1208,1,86831,626454,UA,2182, ,6, ,2,J,UA,2182,ORD,PHL
1208,2,132225,958904,UA,4605, ,5, ,1,J,UA,4605,PHL,IAD
1208,3,8305,59184,UA,367, ,12, ,1,J,UA,367,IAD,SFO
1209,1,89764,648021,UA,2232, ,9, ,1,J,UA,2232,ORD,MSP
1209,2,41089,293421,UA,1281, ,12, ,2,J,UA,1281,MSP,DEN
1209,3,39005,278850,UA,1224, ,7, ,1,J,UA,1224,DEN,SFO
1210,1,89764,648021,UA,2232, ,9, ,1,J,UA,2232,ORD,MSP
1210,2,91874,663366,UA,2272, ,3, ,1,J,UA,2272,MSP,DEN
1210,3,39005,278850,UA,1224, ,7, ,1,J,UA,1224,DEN,SFO
1211,1,89764,648021,UA,2232, ,9, ,1,J,UA,2232,ORD,MSP
1211,2,134006,972788,UA,4700, ,6, ,1,J,UA,4700,MSP,DEN
1211,3,39005,278850,UA,1224, ,7, ,1,J,UA,1224,DEN,SFO
