itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
298,3,150397,99861,UA,5759, ,6, ,1,J,UA,5759,SFO,LAX
299,1,91853,663223,UA,2271, ,4, ,1,J,UA,2271,DEN,SEA
299,2,50898,364867,UA,1482, ,26, ,1,J,UA,1482,SEA,SFO
299,3,150397,99861,UA,5759, ,6, ,1,J,UA,5759,SFO,LAX
300,1,98615,713253,UA,2391, ,13, ,1,J,UA,2391,DEN,SFO
300,2,94996,686540,UA,2322, ,7, ,2,J,UA,2322,SFO,RNO
300,3,152663,117791,UA,5908, ,4, ,1,J,UA,5908,RNO,LAX
301,1,98615,713253,UA,2391, ,13, ,1,J,UA,2391,DEN,SFO
301,2,144677,54570,UA,5461, ,7, ,1,J,UA,5461,SFO,RNO
301,3,152663,117791,UA,5908, ,4, ,1,J,UA,5908,RNO,LAX
302,1,98615,713253,UA,2391, ,13, ,1,J,UA,2391,DEN,SFO
302,2,149477,92544,UA,5707, ,2, ,1,J,UA,5707,SFO,RNO
302,3,152663,117791,UA,5908, ,4, ,1,J,UA,5908,RNO,LAX
303,1,97291,703511,UA,2367, ,12, ,1,J,UA,2367,DEN,SFO
303,2,20385,147023,UA,611, ,16, ,2,J,UA,611,SFO,LAS
303,3,147583,77586,UA,5612, ,18, ,1,J,UA,5612,LAS,LAX
304,1,97291,703511,UA,2367, ,12, ,1,J,UA,2367,DEN,SFO
304,2,149015,88907,UA,5681, ,2, ,1,J,UA,5681,SFO,SBP
304,3,149854,95563,UA,5731, ,2, ,1,J,UA,5731,SBP,LAX
305,1,97291,703511,UA,2367, ,12, ,1,J,UA,2367,DEN,SFO
305,2,145500,61016,UA,5509, ,3, ,1,J,UA,5509,SFO,PSP
305,3,147848,79710,UA,5626, ,6, ,1,J,UA,5626,PSP,LAX
306,1,97291,703511,UA,2367, ,12, ,1,J,UA,2367,DEN,SFO
306,2,86395,623131,UA,2177, ,8, ,1,J,UA,2177,SFO,SAN
306,3,145956,64561,UA,5533, ,4, ,1,J,UA,5533,SAN,LAX
307,1,97291,703511,UA,2367, ,12, ,1,J,UA,2367,DEN,SFO
307,2,98616,713261,UA,2391, ,13, ,2,J,UA,2391,SFO,SAN
307,3,145956,64561,UA,5533, ,4, ,1,J,UA,5533,SAN,LAX
308,1,4866,33571,UA,294, ,1, ,1,J,UA,294,DEN,SJD
308,2,36970,264403,UA,1174, ,2, ,1,J,UA,1174,SJD,SFO
308,3,86510,623990,UA,2179, ,18, ,3,J,UA,2179,SFO,LAX
309,1,115,792,UA,9, ,2, ,2,J,UA,9,DEN,SFO
309,2,154317,130851,UA,6027, ,1, ,1,J,UA,6027,SFO,BOI
309,3,134581,977269,UA,4730, ,5, ,1,J,UA,4730,BOI,LAX
310,1,135066,981074,UA,4756, ,3, ,1,J,UA,4756,DEN,SLC
310,2,75934,546598,UA,1972, ,8, ,1,J,UA,1972,SLC,SFO
310,3,86510,623990,UA,2179, ,18, ,3,J,UA,2179,SFO,LAX
311,1,135066,981074,UA,4756, ,3, ,1,J,UA,4756,DEN,SLC
311,2,149875,95730,UA,5732, ,8, ,1,J,UA,5732,SLC,SFO
311,3,86510,623990,UA,2179, ,18, ,3,J,UA,2179,SFO,LAX
312,1,115,792,UA,9, ,2, ,2,J,UA,9,DEN,SFO
312,2,64894,466282,UA,1757, ,7, ,2,J,UA,1757,SFO,RNO
312,3,147753,78949,UA,5621, ,2, ,1,J,UA,5621,RNO,LAX
313,1,145168,58444,UA,5487, ,4, ,1,J,UA,5487,DEN,ABQ
313,2,132600,961611,UA,4628, ,5, ,1,J,UA,4628,ABQ,SFO
313,3,150984,104443,UA,5794, ,7, ,1,J,UA,5794,SFO,LAX
314,1,152871,119444,UA,5927, ,5, ,1,J,UA,5927,DEN,BOI
314,2,141467,28866,UA,5312, ,5, ,1,J,UA,5312,BOI,SFO
314,3,150984,104443,UA,5794, ,7, ,1,J,UA,5794,SFO,LAX
315,1,106655,772449,UA,2624, ,4, ,1,J,UA,2624,DEN,LAS
315,2,57289,411341,UA,1603, ,11, ,1,J,UA,1603,LAS,SFO
315,3,86510,623990,UA,2179, ,18, ,3,J,UA,2179,SFO,LAX
316,1,106655,772449,UA,2624, ,4, ,1,J,UA,2624,DEN,LAS
