itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
91,3,186678,273732,UA,8316, ,2, ,1,J,AC,8748,CLT,YYZ
92,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
92,2,135775,986663,UA,4792, ,3, ,1,J,UA,4792,IAH,CLT
92,3,186678,273732,UA,8316, ,2, ,1,J,AC,8748,CLT,YYZ
93,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
93,2,54899,394054,UA,1549, ,12, ,1,J,UA,1549,IAH,IAD
93,3,116038,842835,UA,3453, ,2, ,1,J,UA,3453,IAD,YYZ
94,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
94,2,97225,703013,UA,2366, ,15, ,2,J,UA,2366,IAH,IAD
94,3,116038,842835,UA,3453, ,2, ,1,J,UA,3453,IAD,YYZ
95,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
95,2,156294,144789,UA,6214, ,4, ,1,J,UA,6214,IAH,STL
95,3,158382,156002,UA,6606, ,7, ,1,J,AC,8970,STL,YYZ
96,1,143735,47084,UA,5419, ,7, ,1,J,UA,5419,LFT,IAH
96,2,66371,477207,UA,1788, ,16, ,2,J,UA,1788,IAH,IAD
96,3,117475,854028,UA,3515, ,2, ,1,J,UA,3515,IAD,YYZ
97,1,143735,47084,UA,5419, ,7, ,1,J,UA,5419,LFT,IAH
97,2,97225,703013,UA,2366, ,15, ,2,J,UA,2366,IAH,IAD
97,3,117475,854028,UA,3515, ,2, ,1,J,UA,3515,IAD,YYZ
98,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
98,2,52985,380298,UA,1507, ,4, ,1,J,UA,1507,IAH,BOS
98,3,190751,295771,UA,8611, ,4, ,1,J,AC,8697,BOS,YYZ
99,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
99,2,17169,123841,UA,544, ,10, ,1,J,UA,544,IAH,CLE
99,3,184035,259202,UA,8133, ,4, ,1,J,AC,8732,CLE,YYZ
100,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
100,2,26687,193141,UA,744, ,14, ,2,J,UA,744,IAH,CLE
100,3,184035,259202,UA,8133, ,4, ,1,J,AC,8732,CLE,YYZ
101,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
101,2,71439,513824,UA,1886, ,4, ,1,J,UA,1886,IAH,EWR
101,3,118461,861618,UA,3557, ,3, ,1,J,UA,3557,EWR,YYZ
102,1,143735,47084,UA,5419, ,7, ,1,J,UA,5419,LFT,IAH
102,2,13302,95419,UA,477, ,14, ,2,J,UA,477,IAH,ORD
102,3,140897,24427,UA,5278, ,10, ,1,J,UA,5278,ORD,YYZ
103,1,143735,47084,UA,5419, ,7, ,1,J,UA,5419,LFT,IAH
103,2,67714,487113,UA,1807, ,8, ,1,J,UA,1807,IAH,ORD
103,3,140897,24427,UA,5278, ,10, ,1,J,UA,5278,ORD,YYZ
104,1,143735,47084,UA,5419, ,7, ,1,J,UA,5419,LFT,IAH
104,2,99879,722538,UA,2417, ,15, ,1,J,UA,2417,IAH,ORD
104,3,140897,24427,UA,5278, ,10, ,1,J,UA,5278,ORD,YYZ
105,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
105,2,123763,901311,UA,4048, ,7, ,1,J,UA,4048,IAH,DTW
105,3,184238,260330,UA,8150, ,1, ,1,J,AC,8776,DTW,YYZ
106,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
106,2,154944,135602,UA,6119, ,2, ,1,J,UA,6119,IAH,DTW
106,3,184238,260330,UA,8150, ,1, ,1,J,AC,8776,DTW,YYZ
107,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
107,2,13302,95419,UA,477, ,14, ,2,J,UA,477,IAH,ORD
107,3,69462,499703,UA,1845, ,3, ,1,J,UA,1845,ORD,YYZ
108,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
108,2,83830,603991,UA,2124, ,7, ,1,J,UA,2124,IAH,ORD
108,3,69462,499703,UA,1845, ,3, ,1,J,UA,1845,ORD,YYZ
109,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
109,2,99879,722538,UA,2417, ,15, ,1,J,UA,2417,IAH,ORD
109,3,69462,499703,UA,1845, ,3, ,1,J,UA,1845,ORD,YYZ
110,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
110,2,47667,342391,UA,1397, ,16, ,1,J,UA,1397,IAH,EWR
